twt_id,twt_created_at,twt_text,twt_rt_count,twt_source,twt_user_id,twt_user_location,twt_user_following,twt_user_screen_name,twt_user_friends_count,twt_user_statuses_count,twt_user_lang,twt_user_created_at
844928056007557124,Thu Mar 23 15:05:21 +0000 2017,SB from @OpenEurope - By 2030 U.K. Economy could be 2.0% worse off or 1.% GDP better off depending on #brexit deal #FSB2017,0,,10219042,London  UK,None,davidcgeary,1483,1679,en,23-03-2017
844928057488101379,Thu Mar 23 15:05:21 +0000 2017,  La Pologne prefere son zloty a l'#euro #Brexit #Grexit #Italexit #Frexit: plus personne ne veut de cette monnaie! htt...,0,,721262035368087553,Bruxelles  Belgique,None,menleuropa,247,374,fr,23-03-2017
844928070217875457,Thu Mar 23 15:05:24 +0000 2017,  UK retail sales surge as consumers shrug off #Brexit fears. ... ,0,,3814647436,Chesterfield  England,None,ChesterfieldIs,481,36627,en,23-03-2017
844928074034634752,Thu Mar 23 15:05:25 +0000 2017,Context of #SCAMPIproject frm  @ILCUK states 200 000 carerworker shortage by 2020  &amp; thats nt taking #Brexit into account!,0,,4289684295,London  England,None,TheBearingmusic,309,177,en,23-03-2017
844928073812393984,Thu Mar 23 15:05:25 +0000 2017,Context of #SCAMPIproject frm  @ILCUK states 200 000 carerworker shortage by 2020  &amp; thats nt taking #Brexit into account!,0,,2534802542,London  UK,None,alisekirtley,555,412,en,23-03-2017
844928074978340864,Thu Mar 23 15:05:25 +0000 2017,  UK retail sales surge as consumers shrug off #Brexit fears. ... ,0,,4725230247,Yorkshire and The Humber,None,yorkshireis,3701,61662,en,23-03-2017
844928078845526017,Thu Mar 23 15:05:26 +0000 2017,  UK retail sales surge as consumers shrug off #Brexit fears. ... ,0,,2394596514,Birmingham,None,BrumIsBrill,4755,113898,en,23-03-2017
844928078623264769,Thu Mar 23 15:05:26 +0000 2017,Those injured abroad must be protected post-#Brexit  say lawyers ,0,,301339640,Liverpool  Merseyside,None,CLBSolicitors,2928,19876,en,23-03-2017
844928104153972737,Thu Mar 23 15:05:32 +0000 2017,  not just the #Brexit legislative programme preoccupying Parliament.@instituteforgov @_RobBuck on Parly inquiry mani... ,0,,2890866940,London,None,nicolevIFG,1014,12459,en,23-03-2017
844928107853352961,Thu Mar 23 15:05:33 +0000 2017,Our politicians need to keep agriculture at the top of the agenda in light of #Brexit to protect our industry @joehealyfarmer,0,,270918732,Irish Farm Centre,None,ASAireland,620,2169,en,23-03-2017
